Fecha,Promedio,Máximo,Mínimo
2018-11-04,11.484583333333333,13.81,9.87
2018-11-05,11.425416666666665,13.82,9.78
2018-11-06,12.106666666666667,14.89,8.86
2018-11-07,13.901666666666666,18.17,10.93
2018-11-08,11.165,13.26,9.59
2018-11-09,11.912916666666666,15.02,7.99
2018-11-10,15.186666666666667,17.28,13.01
2018-11-11,17.272916666666667,19.3,14.97
2018-11-12,17.275833333333335,17.61,16.94
2018-11-13,16.570416666666667,16.91,16.23
2018-11-14,15.865,16.2,15.53
2018-11-15,15.159583333333332,15.5,14.82
2018-11-16,14.454166666666666,14.79,14.12
2018-11-17,13.749166666666667,14.09,13.41
2018-11-18,12.96625,13.38,12.36
2018-11-19,12.531666666666666,14.79,11.12
2018-11-20,12.535000000000002,14.1,11.46
2018-11-21,11.691666666666668,14.81,8.18
2018-11-22,9.65375,11.68,7.04
2018-11-23,10.089583333333334,13.29,7.61
2018-11-24,9.553333333333333,14.86,5.7
2018-11-25,13.1,15.55,9.16
2018-11-26,11.765833333333333,15.06,8.65
2018-11-27,8.163333333333332,13.95,4.57
2018-11-28,5.435416666666666,9.63,1.53
2018-11-29,6.553333333333334,12.11,1.25
2018-11-30,9.573333333333332,14.99,6.24
2018-12-01,8.324583333333333,14.71,3.45
2018-12-02,8.467083333333333,13.38,5.8
2018-12-03,8.827499999999999,11.78,5.79
2018-12-04,7.808333333333334,14.02,4.23
2018-12-05,9.24875,16.56,5.03
2018-12-06,8.072083333333333,10.57,6.04
2018-12-07,6.4433333333333325,8.41,5.0
2018-12-08,7.31375,10.46,5.13
2018-12-09,6.722916666666666,8.59,4.89
2018-12-10,8.01125,14.92,4.07
2018-12-11,8.539166666666667,14.98,3.8
2018-12-12,9.182083333333333,11.55,6.95
2018-12-13,10.789166666666667,12.72,9.05
2018-12-14,10.182083333333333,13.93,8.02
2018-12-15,10.567916666666667,12.6,6.17
2018-12-16,12.053333333333335,15.25,8.28
2018-12-17,7.38375,12.18,2.27
2018-12-18,6.0754166666666665,9.17,1.65
2018-12-19,9.044583333333334,11.15,7.42
2018-12-20,10.46125,13.05,8.25
2018-12-21,10.554166666666667,14.43,7.87
2018-12-22,10.318333333333333,11.7,8.88
2018-12-23,8.035,10.2,5.3
2018-12-24,6.173333333333333,7.8,4.93
2018-12-25,7.239166666666667,14.35,3.48
2018-12-26,6.779583333333334,13.95,2.47
2018-12-27,4.513333333333334,7.48,1.73
